loss,accuracy,recall,precision,f1-score
0.7264584,0.92176104,0.8761468,0.89356726,0.8847712582923387
0.6810752,0.9262893,0.89220184,0.8942529,0.893226220971775
0.64541405,0.92880505,0.8979358,0.9031142,0.9005175889988593
0.7241897,0.92150944,0.88073397,0.88991886,0.885302622721114
0.71289057,0.92150944,0.88188076,0.88901734,0.8854346719156829
0.76999223,0.9262893,0.8635321,0.8900709,0.8766007331727408
0.68631715,0.9293082,0.8795872,0.905549,0.8923792662485499
0.7470103,0.92226416,0.8669725,0.892562,0.8795811612467297
0.7024924,0.92075473,0.88990825,0.89298046,0.891441738103926
0.6318581,0.9300629,0.8956422,0.9039352,0.8997695694842825
0.72283167,0.91698116,0.8841743,0.88927335,0.8867164859291217
0.7760132,0.9245283,0.8669725,0.88836664,0.8775391966142282
0.68406516,0.92654085,0.8956422,0.8905359,0.8930817570214107
0.69773906,0.92704403,0.88188076,0.8931475,0.8874784167896208
0.76654094,0.9247799,0.86123854,0.8961814,0.8783625865673212
0.6906335,0.9293082,0.88188076,0.9036428,0.8926291488801013
0.7015195,0.92704403,0.8864679,0.8946759,0.8905529797339197
0.6323064,0.930566,0.8853211,0.91360945,0.8992428441945463
0.69543236,0.93383646,0.8635321,0.9160584,0.8890200621686866
0.6940599,0.92779875,0.88761467,0.8968714,0.8922190188485191
0.7192035,0.9303145,0.8830275,0.88709676,0.8850574807670926
0.8917959,0.9162264,0.8486239,0.8747045,0.861466825861813
0.74704146,0.92125785,0.8830275,0.88100684,0.8820160379187426
0.8085407,0.91396224,0.8784404,0.8714448,0.8749286175692073
0.78671247,0.9255346,0.85779816,0.8947368,0.875878209489228
0.69290394,0.9308176,0.875,0.90189123,0.8882421316381902
0.78115267,0.92578614,0.8795872,0.8775744,0.8785795962323962
0.8555049,0.91471696,0.8715596,0.8636364,0.8675799076418116
0.8610008,0.9174843,0.85091746,0.8770686,0.8637951052050058
0.778231,0.92704403,0.86123854,0.890866,0.8758017658278014
0.7339994,0.92754716,0.88990825,0.88081723,0.8853394073888327
0.8024765,0.925283,0.8704128,0.88255817,0.8764434524772184
0.7121367,0.93333334,0.8864679,0.8936416,0.8900403075732541
0.8870826,0.918239,0.85665137,0.8665893,0.8615917104788364
0.7405066,0.92654085,0.8635321,0.9017964,0.8822495657322388
0.81720155,0.923522,0.8555046,0.8912784,0.8730251286963432
0.6976316,0.9283019,0.88876146,0.88978183,0.8892713838404788
0.7294232,0.9308176,0.88073397,0.8940629,0.887348371010938
0.7552504,0.9335849,0.8635321,0.897497,0.8801870228126074
0.7766565,0.925283,0.8784404,0.8764302,0.8774341156702287
0.7425688,0.9247799,0.88761467,0.8805461,0.8840662213831826
0.801878,0.92201257,0.8635321,0.8827667,0.8730435249125109
0.65232956,0.93308175,0.89334863,0.90266514,0.8979826925833867
0.66696227,0.9320755,0.8956422,0.8997696,0.8977011684716842
0.7317877,0.93433964,0.8727064,0.8974057,0.8848837577103931
0.8220394,0.9272956,0.8394495,0.9025894,0.8698751772483093
0.6814195,0.92955977,0.89220184,0.8932262,0.8927137297321176
0.7005024,0.9303145,0.88188076,0.895227,0.8885038015606771
0.79164994,0.92679244,0.86009175,0.88967973,0.874635576999434
0.6671494,0.9315723,0.8864679,0.90303737,0.8946759110145445
0.62065774,0.9383648,0.88990825,0.9150943,0.9023255685086247
0.6391876,0.9355975,0.89334863,0.900578,0.8969487313802923
0.73653513,0.9310692,0.8727064,0.89529413,0.8838559530781763
0.6988176,0.93333334,0.8795872,0.9012926,0.8903076540474788
0.707847,0.9328302,0.8727064,0.9059524,0.8890186635435224
0.6404098,0.93861634,0.8841743,0.9135071,0.8986014132271934
0.6094701,0.9381132,0.91399086,0.8975225,0.9056817960443581
0.7986343,0.9293082,0.8669725,0.8852459,0.8760138985900596
0.74689883,0.93308175,0.85894495,0.90458935,0.8811764616646156
0.7856762,0.9315723,0.8853211,0.8752834,0.8802736367385933
0.69086164,0.93408805,0.8830275,0.9005848,0.8917197708384692
0.7056608,0.93509436,0.8635321,0.9127273,0.8874484579623865
0.78292525,0.9303145,0.86123854,0.89192396,0.8763127096881105
0.7309257,0.9290566,0.8944954,0.88235295,0.8883827285639535
0.78395784,0.9303145,0.8704128,0.8898007,0.8799999729794686
0.8600561,0.9250314,0.85779816,0.8758782,0.8667438811032252
0.90493566,0.92,0.8543578,0.8693116,0.86176983863413
0.82584494,0.9308176,0.86926603,0.8763006,0.8727691288502398
0.8259651,0.92704403,0.85779816,0.8862559,0.8717948666382754
0.90219325,0.9255346,0.86009175,0.8640553,0.8620689253316316
0.8279847,0.9283019,0.8669725,0.87703013,0.8719723488553489
0.8497147,0.92654085,0.8543578,0.88061464,0.8672874948411924
0.8591261,0.9262893,0.86123854,0.87529135,0.8682081122281918
0.8147905,0.9290566,0.86238533,0.88159436,0.871884057517954
